name;institution;qualis;issn
ABRALIC;Associação Brasileira de Literatura Comparada;A1;0103-6963
Acervo;Arquivo Nacional;A1;2237-8723
Educação & Realidade;Universidade Federal do Rio Grande do Sul - UFRGS;A1;2175-6236
HOLOS;Instituto Federal do Rio Grande do Norte (IFRN);A1;1807-1600
IR;Information Research;A1;1368-1613
JASIST;Journal of the Association for Information Science and Technology;A1;2330-1643
Journal of Research in Interactive Marketing;Emerald Publishing Limited;A1;2040-7122
Revista Poiésis;Universidade Federal Fluminense - UFF;A1;2177-8566
The Electronic Library;Emerald Publishing Limited;A1;0264-0473
Transinformação;Pontifícia Universidade Católica de Campinas – PUCCAMP;A1;2318-0889
Informação & Sociedade;Universidade Federal da Paraíba – UFPB;A2;1809-4783
SLW;International Association of School Librarianship;A2;1023-9391
Encontros Bibli;Universidade Federal de Santa Catarina – UFSC;A2;1518-2924
Informação & Informação;Universidade Estadual de Londrina - UEL;A2;1981-8920
Perspectivas em Ciência da Informação;Universidade Federal de Minas Gerais – UFMG;A2;1981-5344
RAC;Associação Nacional de Pós-Graduação e Pesquisa em AdministraçãO - ANPAD;A2;1982-7849
Cuaderno;Universidad de Palermo;A2;1668-0227
Documentación de las Ciencias de la Información;Universidad Complutense de Madrid - UCM;A2;0210-4210
Em Questão;Federal do Rio Grande do Sul – UFRGS;A2;1808-5245
Cadernos EBAPE.BR;Escola Brasileira de Administração Pública;A2;1679-3951
Educação e Cultura Contemporânea;Universidade Estácio de Sá;A2;2238-1279
Educação Unisinos;Unisinos;A2;2177-6210
Tourism Planning & Development;Taylor & Francis Group;A2;2156-8324
Interações;PUC Minas;A2;1983-2478
Revista CPC;Universidade de São Paulo – USP;A2;1980-4466
Education for Information;IOS Press;A2;0167-8329
Acta Scientiarum;niversidade do Estado de Minas Gerais (FaE/UEMG);A2;2178-5201
Publications;MDPI;A2;2304-6775
Razón y Palabra;Tecnológico de Monterrey, campus Estado de México.;A2;1605-4806
Data Intelligence;MIT Press Direct;A2;2096-7004
RBBD;Fed Brasileira de Associações de Bibliotecários, Cientistas da Informação e Instituições;A3;1980-6949
Investigación Bibliotecológica;Universidad Nacional Autónoma de México - UNAM;A3;2448-8321
RCA;Universidade de Fortaleza - Unifor;A3;2318-0722
CIET;Estudios y Perspectivas en Turismo;A3;1851-1732
